CHROM	GeneStart	GeneEnd	TargetID	GeneName	snp_size	effect_snp_size	sample_size	5-fold-CV-R2	TrainPVALUE	Train-R2
2	201717732	201729422	ENSG00000013441.11	CLK1	4301	4301	1	0.010571527181102259	1.4533027438891496e-09	0.2529110392953755
2	241375088	241407493	ENSG00000063660.4	GPC1	3865	3865	1	0.04029755687667467	5.624086292816763e-12	0.3148299997309828
2	74753772	74756503	ENSG00000115307.12	AUP1	4943	4943	1	0.05602175965136902	1.3322826029972012e-11	0.30554342807284973
2	242088991	242123067	ENSG00000115685.10	PPP1R7	6176	6176	1	0.07605090371022809	5.5327470900414355e-11	0.28995109755145
2	202241930	202316302	ENSG00000115993.7	TRAK2	4890	4890	1	0.07788682065762627	3.1694704784115567e-14	0.36814846077119934
2	71409869	71454213	ENSG00000124374.8	PAIP2B	3410	3410	1	0.027048430819884194	6.592623547319315e-13	0.33740414015475984
2	241653181	241759725	ENSG00000130294.10	KIF1A	5133	5133	1	0.06156559789820073	3.7159686408537975e-11	0.2943431103759123
2	158175137	158184225	ENSG00000136541.10	ERMN	2965	2965	1	0.03677824915892103	6.308038759225467e-10	0.2625363127435727
2	159313476	159539391	ENSG00000144283.17	PKP4	5075	5075	1	0.015754200508082385	1.0233591784004219e-10	0.2831148089082157
2	73481810	73511559	ENSG00000163013.7	FBXO41	3519	3519	1	0.03316311060081194	8.703413112108599e-07	0.1753359518777603
2	74119441	74146992	ENSG00000163017.9	ACTG2	3597	3597	1	0.07182920621416486	9.540990090650712e-10	0.2577787215101185
2	242254515	242293442	ENSG00000168385.13	2-Sep	6185	6185	1	0.07348628549022737	2.810422760028219e-13	0.346183443667443
2	242498136	242513546	ENSG00000176720.3	BOK	5315	5315	1	0.03877232664056487	2.1457785281124448e-10	0.2748026192525975
2	74588281	74619115	ENSG00000204843.8	DCTN1	4696	4696	1	0.04606735620147826	1.3692437111253143e-15	0.39852308342244536
