CHROM	Start	End	File
1	10583	1892607	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	1892607	3582736	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	3582736	4380811	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	4380811	5913893	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	5913893	7247335	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	7247335	9365199	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	9365199	10806984	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	10806984	11777841	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	11777841	12779466	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	12779466	14891511	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	14891511	16897730	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	16897730	18662899	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	18662899	20469149	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	20469149	21736588	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	21736588	23086883	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	23086883	23920590	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	23920590	25516845	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	25516845	27401867	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	27401867	30161881	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	30161881	32438685	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	32438685	34799758	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	34799758	37549183	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	37549183	38731847	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	38731847	40200567	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	40200567	41975327	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	41975327	43758457	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	43758457	44969183	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	44969183	46899501	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	46899501	48002576	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	48002576	48978188	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	48978188	49894177	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	49894177	51713726	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	51713726	54226262	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	54226262	56413117	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	56413117	57021728	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	57021728	58865399	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	58865399	59890409	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	59890409	61922365	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	61922365	63455089	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	63455089	65041704	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	65041704	66939404	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	66939404	68477895	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	68477895	69687616	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	69687616	71372470	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	71372470	71684405	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	71684405	74326907	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	74326907	76728135	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	76728135	79661198	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	79661198	81354191	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	81354191	83991748	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	83991748	84844495	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	84844495	86454751	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	86454751	88128631	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	88128631	90066303	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	90066303	91886317	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	91886317	93536459	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	93536459	94506191	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	94506191	96150893	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	96150893	97885249	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	97885249	99800604	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	99800604	100826405	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	100826405	102041016	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	102041016	102898745	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	102898745	103914211	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	103914211	106087842	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	106087842	108409665	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	108409665	110303931	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	110303931	111741737	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	111741737	113273306	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	113273306	114873845	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	114873845	115880593	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	115880593	118839067	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	118839067	144977494	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	144977494	148361253	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	148361253	151538881	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	151538881	153180829	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	153180829	154770403	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	154770403	156336133	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	156336133	158027412	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	158027412	159913048	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	159913048	162346721	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	162346721	165191702	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	165191702	166460517	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	166460517	169086324	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	169086324	170557776	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	170557776	173097907	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	173097907	175089768	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	175089768	177433381	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	177433381	178944309	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	178944309	178954470	CHR1.Imputed.1KG.dose_filtered.vcf.gz
1	178954470	181144121	CHR1.Imputed.1KG.dose_filtered.vcf.gz
