CHROM	GeneStart	GeneEnd	TargetID	GeneName
1	196621008	196716634	ENSG00000000971.11	CFH
1	24683489	24743424	ENSG00000001460.13	STPG1
1	24745781	24799466	ENSG00000001461.12	NIPAL3
1	23345941	23410182	ENSG00000004487.11	KDM1A
1	24104895	24114722	ENSG00000057757.5	PITHD1
1	111743393	111786062	ENSG00000064886.9	CHI3L2
1	22379120	22419437	ENSG00000070831.11	CDC42
1	24018269	24022915	ENSG00000142676.8	RPL11
1	169074935	169101768	ENSG00000143153.8	ATP1B1
1	167885967	167906278	ENSG00000143158.6	MPC2
1	167905279	168045081	ENSG00000143164.11	DCAF6
1	198126093	198291550	ENSG00000151414.10	NEK7
1	113243728	113250056	ENSG00000155366.12	RHOC
2	201717732	201729422	ENSG00000013441.11	CLK1
2	241375088	241407493	ENSG00000063660.4	GPC1
2	74753772	74756503	ENSG00000115307.12	AUP1
2	242088991	242123067	ENSG00000115685.10	PPP1R7
2	202241930	202316302	ENSG00000115993.7	TRAK2
2	71409869	71454213	ENSG00000124374.8	PAIP2B
2	241653181	241759725	ENSG00000130294.10	KIF1A
2	158175137	158184225	ENSG00000136541.10	ERMN
2	159313476	159539391	ENSG00000144283.17	PKP4
2	73481810	73511559	ENSG00000163013.7	FBXO41
2	74119441	74146992	ENSG00000163017.9	ACTG2
2	242254515	242293442	ENSG00000168385.13	2-Sep
2	242498136	242513546	ENSG00000176720.3	BOK
2	74588281	74619115	ENSG00000204843.8	DCTN1
3	48636436	48648409	ENSG00000010256.6	UQCRC1
3	42734569	42744319	ENSG00000010282.10	HHATL
3	50304990	50314977	ENSG00000012171.13	SEMA3B
3	170136653	170578169	ENSG00000013297.6	CLDN11
3	52232102	52248343	ENSG00000023330.10	ALAS1
3	47892182	48130769	ENSG00000047849.17	MAP4
3	38144620	38178733	ENSG00000060971.13	ACAA1
3	49396578	49449635	ENSG00000067560.6	RHOA
3	128444965	128533639	ENSG00000075785.8	RAB7A
3	47021173	47051193	ENSG00000160796.12	NBEAL2
3	52027616	52029958	ENSG00000162244.6	RPL29
3	48445261	48471594	ENSG00000164050.8	PLXNB1
4	1795034	1810599	ENSG00000068078.13	FGFR3
4	6322305	6565327	ENSG00000074211.9	PPP2R2C
4	109541722	109551568	ENSG00000109475.12	RPL34
4	6271576	6304992	ENSG00000109501.9	WFS1
4	88896819	88904562	ENSG00000118785.9	SPP1
4	17461884	17513857	ENSG00000151552.7	QDPR
4	88394487	88452213	ENSG00000152583.8	SPARCL1
4	41258430	41270472	ENSG00000154277.8	UCHL1
4	109663196	109684210	ENSG00000164089.4	ETNPPL
4	778745	819986	ENSG00000168993.10	CPLX1
4	666225	667368	ENSG00000169020.5	ATP5I
4	89617066	89619386	ENSG00000177432.6	NAP1L5
4	6709428	6711607	ENSG00000178988.10	MRFAP1L1
4	6641818	6644472	ENSG00000179010.10	MRFAP1
4	2061239	2070816	ENSG00000185818.7	NAT8L
4	2043689	2045697	ENSG00000243449.2	C4orf48
5	149569520	149602351	ENSG00000011083.4	SLC6A7
5	138609441	138667360	ENSG00000015479.13	MATR3
5	149781200	149792492	ENSG00000019582.10	CD74
5	161274197	161326975	ENSG00000022355.10	GABRA1
5	474998	524447	ENSG00000066230.6	SLC9A3
5	149599054	149669854	ENSG00000070808.11	CAMK2A
5	218356	256815	ENSG00000073578.12	SDHA
5	134906373	134914874	ENSG00000145824.8	CXCL14
5	160974069	161129598	ENSG00000145863.6	GABRA6
5	160715436	160976050	ENSG00000145864.8	GABRB2
5	177577567	177580968	ENSG00000145912.4	NHP2
5	177557997	177577531	ENSG00000145916.14	RMND5B
5	175223313	175311023	ENSG00000145920.10	CPLX2
5	139175406	139224051	ENSG00000146005.3	PSD2
5	140079919	140086248	ENSG00000146007.6	ZMAT2
5	175816332	175816772	ENSG00000146066.2	HIGD2A
5	136310987	136934068	ENSG00000152377.8	SPOCK1
