CHROM	Start	End	File
1	10583	1892607	Genotype.vcf.gz
1	1892607	3582736	Genotype.vcf.gz
1	3582736	4380811	Genotype.vcf.gz
1	4380811	5913893	Genotype.vcf.gz
1	5913893	7247335	Genotype.vcf.gz
1	7247335	9365199	Genotype.vcf.gz
1	9365199	10806984	Genotype.vcf.gz
1	10806984	11777841	Genotype.vcf.gz
1	11777841	12779466	Genotype.vcf.gz
1	12779466	14891511	Genotype.vcf.gz
1	14891511	16897730	Genotype.vcf.gz
1	16897730	18662899	Genotype.vcf.gz
1	18662899	20469149	Genotype.vcf.gz
1	20469149	21736588	Genotype.vcf.gz
1	21736588	23086883	Genotype.vcf.gz
1	23086883	23920590	Genotype.vcf.gz
1	23920590	25516845	Genotype.vcf.gz
1	25516845	27401867	Genotype.vcf.gz
1	27401867	30161881	Genotype.vcf.gz
1	30161881	32438685	Genotype.vcf.gz
1	32438685	34799758	Genotype.vcf.gz
1	34799758	37549183	Genotype.vcf.gz
1	37549183	38731847	Genotype.vcf.gz
1	38731847	40200567	Genotype.vcf.gz
1	40200567	41975327	Genotype.vcf.gz
1	41975327	43758457	Genotype.vcf.gz
1	43758457	44969183	Genotype.vcf.gz
1	44969183	46899501	Genotype.vcf.gz
1	46899501	48002576	Genotype.vcf.gz
1	48002576	48978188	Genotype.vcf.gz
1	48978188	49894177	Genotype.vcf.gz
1	49894177	51713726	Genotype.vcf.gz
1	51713726	54226262	Genotype.vcf.gz
1	54226262	56413117	Genotype.vcf.gz
1	56413117	57021728	Genotype.vcf.gz
1	57021728	58865399	Genotype.vcf.gz
1	58865399	59890409	Genotype.vcf.gz
1	59890409	61922365	Genotype.vcf.gz
1	61922365	63455089	Genotype.vcf.gz
1	63455089	65041704	Genotype.vcf.gz
1	65041704	66939404	Genotype.vcf.gz
1	66939404	68477895	Genotype.vcf.gz
1	68477895	69687616	Genotype.vcf.gz
1	69687616	71372470	Genotype.vcf.gz
1	71372470	71684405	Genotype.vcf.gz
1	71684405	74326907	Genotype.vcf.gz
1	74326907	76728135	Genotype.vcf.gz
1	76728135	79661198	Genotype.vcf.gz
1	79661198	81354191	Genotype.vcf.gz
1	81354191	83991748	Genotype.vcf.gz
1	83991748	84844495	Genotype.vcf.gz
1	84844495	86454751	Genotype.vcf.gz
1	86454751	88128631	Genotype.vcf.gz
1	88128631	90066303	Genotype.vcf.gz
1	90066303	91886317	Genotype.vcf.gz
1	91886317	93536459	Genotype.vcf.gz
1	93536459	94506191	Genotype.vcf.gz
1	94506191	96150893	Genotype.vcf.gz
1	96150893	97885249	Genotype.vcf.gz
1	97885249	99800604	Genotype.vcf.gz
1	99800604	100826405	Genotype.vcf.gz
1	100826405	102041016	Genotype.vcf.gz
1	102041016	102898745	Genotype.vcf.gz
1	102898745	103914211	Genotype.vcf.gz
1	103914211	106087842	Genotype.vcf.gz
1	106087842	108409665	Genotype.vcf.gz
1	108409665	110303931	Genotype.vcf.gz
1	110303931	111741737	Genotype.vcf.gz
1	111741737	113273306	Genotype.vcf.gz
1	113273306	114873845	Genotype.vcf.gz
1	114873845	115880593	Genotype.vcf.gz
1	115880593	118839067	Genotype.vcf.gz
1	118839067	144977494	Genotype.vcf.gz
1	144977494	148361253	Genotype.vcf.gz
1	148361253	151538881	Genotype.vcf.gz
1	151538881	153180829	Genotype.vcf.gz
1	153180829	154770403	Genotype.vcf.gz
1	154770403	156336133	Genotype.vcf.gz
1	156336133	158027412	Genotype.vcf.gz
1	158027412	159913048	Genotype.vcf.gz
1	159913048	162346721	Genotype.vcf.gz
1	162346721	165191702	Genotype.vcf.gz
1	165191702	166460517	Genotype.vcf.gz
1	166460517	169086324	Genotype.vcf.gz
1	169086324	170557776	Genotype.vcf.gz
1	170557776	173097907	Genotype.vcf.gz
1	173097907	175089768	Genotype.vcf.gz
1	175089768	177433381	Genotype.vcf.gz
1	177433381	178944309	Genotype.vcf.gz
1	178944309	178954470	Genotype.vcf.gz
1	178954470	181144121	Genotype.vcf.gz
1	181144121	182755356	Genotype.vcf.gz
1	182755356	184595513	Genotype.vcf.gz
1	184595513	186810023	Genotype.vcf.gz
1	186810023	188759945	Genotype.vcf.gz
1	188759945	189904130	Genotype.vcf.gz
1	189904130	191868930	Genotype.vcf.gz
1	191868930	194107442	Genotype.vcf.gz
1	194107442	196176201	Genotype.vcf.gz
1	196176201	197311514	Genotype.vcf.gz
1	197311514	199239884	Genotype.vcf.gz
1	199239884	200137649	Genotype.vcf.gz
1	200137649	201589975	Genotype.vcf.gz
1	201589975	203334734	Genotype.vcf.gz
1	203334734	204681068	Genotype.vcf.gz
1	204681068	206073265	Genotype.vcf.gz
1	206073265	208410364	Genotype.vcf.gz
1	208410364	210787750	Genotype.vcf.gz
1	210787750	212842330	Genotype.vcf.gz
1	212842330	214578266	Genotype.vcf.gz
1	214578266	216243634	Genotype.vcf.gz
1	216243634	218705513	Genotype.vcf.gz
1	218705513	219590571	Genotype.vcf.gz
1	219590571	221858231	Genotype.vcf.gz
1	221858231	222230220	Genotype.vcf.gz
1	222230220	224938520	Genotype.vcf.gz
1	224938520	226810860	Genotype.vcf.gz
1	226810860	229156248	Genotype.vcf.gz
1	229156248	230685255	Genotype.vcf.gz
1	230685255	232090252	Genotype.vcf.gz
1	232090252	233429284	Genotype.vcf.gz
1	233429284	234599434	Genotype.vcf.gz
1	234599434	235819436	Genotype.vcf.gz
1	235819436	237555628	Genotype.vcf.gz
1	237555628	238567807	Genotype.vcf.gz
1	238567807	239925314	Genotype.vcf.gz
1	239925314	240564091	Genotype.vcf.gz
1	240564091	241582220	Genotype.vcf.gz
1	241582220	242071602	Genotype.vcf.gz
1	242071602	244109499	Genotype.vcf.gz
1	244109499	245506746	Genotype.vcf.gz
1	245506746	247344518	Genotype.vcf.gz
1	247344518	249239466	Genotype.vcf.gz
2	10133	1781022	Genotype.vcf.gz
2	1781022	3973779	Genotype.vcf.gz
2	3973779	5708337	Genotype.vcf.gz
2	5708337	6836254	Genotype.vcf.gz
2	6836254	8422147	Genotype.vcf.gz
2	8422147	10298469	Genotype.vcf.gz
2	10298469	12419150	Genotype.vcf.gz
2	12419150	14335308	Genotype.vcf.gz
2	14335308	16329735	Genotype.vcf.gz
2	16329735	18647423	Genotype.vcf.gz
2	18647423	19692404	Genotype.vcf.gz
2	19692404	21050490	Genotype.vcf.gz
2	21050490	23341383	Genotype.vcf.gz
2	23341383	24686918	Genotype.vcf.gz
2	24686918	26894985	Genotype.vcf.gz
2	26894985	28598777	Genotype.vcf.gz
2	28598777	29217559	Genotype.vcf.gz
2	29217559	30463711	Genotype.vcf.gz
2	30463711	31550450	Genotype.vcf.gz
2	31550450	33363777	Genotype.vcf.gz
2	33363777	35345028	Genotype.vcf.gz
2	35345028	36122006	Genotype.vcf.gz
2	36122006	38132712	Genotype.vcf.gz
2	38132712	39031337	Genotype.vcf.gz
2	39031337	40281483	Genotype.vcf.gz
2	40281483	43309590	Genotype.vcf.gz
2	43309590	44313803	Genotype.vcf.gz
2	44313803	46482634	Genotype.vcf.gz
2	46482634	47318772	Genotype.vcf.gz
2	47318772	48213001	Genotype.vcf.gz
2	48213001	50022257	Genotype.vcf.gz
2	50022257	50818928	Genotype.vcf.gz
2	50818928	52491133	Genotype.vcf.gz
2	52491133	53508452	Genotype.vcf.gz
2	53508452	54685226	Genotype.vcf.gz
2	54685226	56203345	Genotype.vcf.gz
2	56203345	57429100	Genotype.vcf.gz
2	57429100	58297315	Genotype.vcf.gz
2	58297315	60292000	Genotype.vcf.gz
2	60292000	62429044	Genotype.vcf.gz
2	62429044	64625913	Genotype.vcf.gz
2	64625913	65933444	Genotype.vcf.gz
2	65933444	67226166	Genotype.vcf.gz
2	67226166	68010176	Genotype.vcf.gz
2	68010176	69139564	Genotype.vcf.gz
2	69139564	70755198	Genotype.vcf.gz
2	70755198	73174848	Genotype.vcf.gz
2	73174848	75630086	Genotype.vcf.gz
2	75630086	76913661	Genotype.vcf.gz
2	76913661	78079264	Genotype.vcf.gz
2	78079264	80050403	Genotype.vcf.gz
2	80050403	81620841	Genotype.vcf.gz
2	81620841	85140680	Genotype.vcf.gz
2	85140680	88038507	Genotype.vcf.gz
2	88038507	89154526	Genotype.vcf.gz
2	89154526	95326452	Genotype.vcf.gz
2	95326452	98995201	Genotype.vcf.gz
2	98995201	101822329	Genotype.vcf.gz
2	101822329	102688765	Genotype.vcf.gz
2	102688765	103588215	Genotype.vcf.gz
2	103588215	105125034	Genotype.vcf.gz
2	105125034	106210058	Genotype.vcf.gz
2	106210058	107408267	Genotype.vcf.gz
2	107408267	108429177	Genotype.vcf.gz
2	108429177	110572432	Genotype.vcf.gz
2	110572432	113921856	Genotype.vcf.gz
